id;mapa;matricula_motorista;status;inicio;fim;criado_em;tem_divergencia;tem_avaria;total_itens;itens_conferidos;itens_avariados;duracao_minutos
184;229039;0740;completed;02/04/2026 15:25:07;02/04/2026 15:26:01;02/04/2026 15:25:07;Nao;Nao;10;10;0;0.9
183;229047;06;completed;02/04/2026 07:59:00;02/04/2026 08:01:13;02/04/2026 07:59:00;Nao;Nao;70;70;0;2.2
182;229058;0646;completed;02/04/2026 07:55:19;02/04/2026 07:57:42;02/04/2026 07:55:19;Sim;Nao;34;34;0;2.4
181;229054;38000035;in_progress;02/04/2026 07:53:57;;02/04/2026 07:53:57;Nao;Nao;27;22;0;
180;229038;38000076;completed;02/04/2026 07:53:44;02/04/2026 07:58:09;02/04/2026 07:53:44;Nao;Nao;60;60;0;4.4
179;229041;90;completed;02/04/2026 07:52:49;02/04/2026 07:56:00;02/04/2026 07:52:49;Nao;Nao;74;74;0;3.2
178;229040;0741;completed;02/04/2026 07:52:08;02/04/2026 07:53:43;02/04/2026 07:52:08;Nao;Nao;69;69;0;1.6
177;229057;123;completed;02/04/2026 07:48:57;02/04/2026 07:49:49;02/04/2026 07:48:57;Nao;Nao;33;33;0;0.9
176;229050;60;completed;02/04/2026 07:09:08;02/04/2026 07:11:36;02/04/2026 07:09:08;Nao;Nao;42;42;0;2.5
175;229048;1007;completed;02/04/2026 07:08:42;02/04/2026 07:09:45;02/04/2026 07:08:42;Nao;Nao;20;20;0;1.0
174;229052;313;in_progress;02/04/2026 07:07:58;;02/04/2026 07:07:58;Nao;Nao;47;15;0;
173;229046;0120;completed;02/04/2026 07:00:46;02/04/2026 07:04:12;02/04/2026 07:00:46;Nao;Nao;81;79;0;3.4
172;229025;3;completed;01/04/2026 07:59:40;01/04/2026 08:04:27;01/04/2026 07:59:40;Nao;Nao;0;0;0;4.8
171;229012;0740;completed;01/04/2026 07:52:48;01/04/2026 07:55:52;01/04/2026 07:52:48;Nao;Nao;0;0;0;3.1
170;229006;646;completed;01/04/2026 07:43:04;01/04/2026 07:44:57;01/04/2026 07:43:04;Sim;Nao;0;0;0;1.9
169;229022;38000076;completed;01/04/2026 07:42:36;01/04/2026 07:43:55;01/04/2026 07:42:36;Nao;Nao;0;0;0;1.3
168;229019;0741;completed;01/04/2026 07:39:57;01/04/2026 07:42:53;01/04/2026 07:39:57;Sim;Nao;0;0;0;2.9
167;229009;90;completed;01/04/2026 07:36:06;01/04/2026 07:38:35;01/04/2026 07:36:06;Nao;Nao;0;0;0;2.5
166;229021;1008;completed;01/04/2026 07:35:52;01/04/2026 07:45:05;01/04/2026 07:35:52;Nao;Nao;0;0;0;9.2
165;229026;124;completed;01/04/2026 07:34:56;01/04/2026 07:38:52;01/04/2026 07:34:56;Nao;Nao;0;0;0;3.9
164;229008;06;completed;01/04/2026 07:28:39;01/04/2026 07:31:10;01/04/2026 07:28:39;Nao;Nao;0;0;0;2.5
163;228970;0740;completed;31/03/2026 08:00:32;31/03/2026 08:02:35;31/03/2026 08:00:32;Nao;Nao;0;0;0;2.0
162;228959;0008;completed;31/03/2026 07:57:18;31/03/2026 07:59:25;31/03/2026 07:57:18;Nao;Nao;0;0;0;2.1
161;228966;0741;completed;31/03/2026 07:56:56;31/03/2026 07:59:14;31/03/2026 07:56:56;Sim;Nao;0;0;0;2.3
160;228960;06;completed;31/03/2026 07:54:50;31/03/2026 07:55:55;31/03/2026 07:54:50;Nao;Nao;0;0;0;1.1
159;228976;123;completed;31/03/2026 07:53:03;31/03/2026 07:56:50;31/03/2026 07:53:03;Nao;Nao;0;0;0;3.8
158;228967;1008;completed;31/03/2026 07:52:39;31/03/2026 07:54:42;31/03/2026 07:52:39;Nao;Nao;0;0;0;2.1
157;228973;90;completed;31/03/2026 07:52:06;31/03/2026 07:56:14;31/03/2026 07:52:06;Sim;Nao;0;0;0;4.1
156;228964;38000076;completed;31/03/2026 07:50:58;31/03/2026 07:55:06;31/03/2026 07:50:58;Nao;Nao;0;0;0;4.1
155;228975;35000038;completed;31/03/2026 07:50:36;31/03/2026 07:57:29;31/03/2026 07:50:36;Nao;Nao;0;0;0;6.9
154;228961;1007;completed;31/03/2026 07:15:04;31/03/2026 07:18:20;31/03/2026 07:15:04;Nao;Nao;0;0;0;3.3
153;228972;129;completed;31/03/2026 07:11:58;31/03/2026 07:15:00;31/03/2026 07:11:58;Nao;Nao;0;0;0;3.0
152;228974;0120;completed;31/03/2026 07:06:41;31/03/2026 07:10:04;31/03/2026 07:06:41;Nao;Nao;0;0;0;3.4
151;228963;0061;completed;31/03/2026 07:05:08;31/03/2026 07:06:51;31/03/2026 07:05:08;Nao;Nao;0;0;0;1.7
150;228947;008;completed;30/03/2026 07:57:29;30/03/2026 07:58:55;30/03/2026 07:57:29;Nao;Nao;0;0;0;1.4
149;228944;3;completed;30/03/2026 07:53:59;30/03/2026 07:58:27;30/03/2026 07:53:59;Nao;Nao;0;0;0;4.5
148;228951;35000038;completed;30/03/2026 07:51:43;30/03/2026 07:52:14;30/03/2026 07:51:43;Nao;Nao;0;0;0;0.5
147;228940;0740;completed;30/03/2026 07:50:16;30/03/2026 07:54:16;30/03/2026 07:50:16;Nao;Nao;0;0;0;4.0
146;228943;0742;completed;30/03/2026 07:49:09;30/03/2026 07:51:41;30/03/2026 07:49:09;Nao;Nao;0;0;0;2.5
145;228929;1008;completed;30/03/2026 07:49:04;30/03/2026 07:51:27;30/03/2026 07:49:04;Nao;Nao;0;0;0;2.4
144;228937;123;completed;30/03/2026 07:45:46;30/03/2026 07:50:01;30/03/2026 07:45:46;Nao;Nao;0;0;0;4.2
143;228942;38000076;completed;30/03/2026 07:45:43;30/03/2026 07:54:12;30/03/2026 07:45:43;Nao;Nao;0;0;0;8.5
142;228925;128;completed;30/03/2026 07:06:49;30/03/2026 07:10:31;30/03/2026 07:06:49;Nao;Nao;0;0;0;3.7
141;228945;0091;completed;30/03/2026 07:06:16;30/03/2026 07:08:08;30/03/2026 07:06:16;Nao;Nao;0;0;0;1.9
140;228933;1007;completed;30/03/2026 07:04:12;30/03/2026 07:06:59;30/03/2026 07:04:12;Nao;Nao;0;0;0;2.8
139;228953;000061;completed;30/03/2026 07:02:41;30/03/2026 07:06:18;30/03/2026 07:02:41;Nao;Nao;0;0;0;3.6
138;228932;0120;completed;30/03/2026 06:59:14;30/03/2026 07:03:26;30/03/2026 06:59:14;Nao;Nao;0;0;0;4.2
137;228895;90;completed;28/03/2026 11:54:56;28/03/2026 11:57:21;28/03/2026 11:54:56;Nao;Nao;0;0;0;2.4
136;228902;0740;completed;28/03/2026 07:57:22;28/03/2026 08:06:29;28/03/2026 07:57:22;Nao;Nao;0;0;0;9.1
135;228909;38000076;completed;28/03/2026 07:47:05;28/03/2026 07:48:45;28/03/2026 07:47:05;Nao;Nao;0;0;0;1.7
134;228911;06;completed;28/03/2026 07:46:31;28/03/2026 07:48:07;28/03/2026 07:46:31;Nao;Nao;0;0;0;1.6
133;228908;3;completed;28/03/2026 07:46:17;28/03/2026 07:51:59;28/03/2026 07:46:17;Nao;Nao;0;0;0;5.7
132;228910;123;completed;28/03/2026 07:45:57;28/03/2026 07:47:35;28/03/2026 07:45:57;Nao;Nao;0;0;0;1.6
131;228901;35000038;in_progress;28/03/2026 07:45:13;;28/03/2026 07:45:13;Nao;Nao;0;0;0;
130;228903;062;completed;28/03/2026 07:44:24;28/03/2026 07:46:16;28/03/2026 07:44:24;Nao;Nao;0;0;0;1.9
129;228896;1008;in_progress;28/03/2026 07:40:05;;28/03/2026 07:40:05;Nao;Nao;0;0;0;
128;228900;0742;completed;28/03/2026 07:38:52;28/03/2026 07:44:28;28/03/2026 07:38:52;Nao;Nao;0;0;0;5.6
127;228881;0729;completed;27/03/2026 08:07:42;27/03/2026 08:08:33;27/03/2026 08:07:42;Nao;Nao;0;0;0;0.8
126;228868;123;completed;27/03/2026 08:07:20;27/03/2026 08:13:14;27/03/2026 08:07:20;Nao;Nao;0;0;0;5.9
125;228863;0740;completed;27/03/2026 08:04:06;27/03/2026 08:08:12;27/03/2026 08:04:06;Nao;Nao;0;0;0;4.1
124;228880;3;completed;27/03/2026 08:01:33;27/03/2026 08:05:36;27/03/2026 08:01:33;Nao;Nao;0;0;0;4.1
123;228864;90;completed;27/03/2026 08:00:54;27/03/2026 08:04:29;27/03/2026 08:00:54;Sim;Nao;0;0;0;3.6
122;228859;1008;completed;27/03/2026 08:00:37;27/03/2026 08:16:42;27/03/2026 08:00:37;Nao;Nao;0;0;0;16.1
121;228869;38000076;completed;27/03/2026 07:59:34;27/03/2026 08:01:17;27/03/2026 07:59:34;Nao;Nao;0;0;0;1.7
120;228857;06;completed;27/03/2026 07:56:21;27/03/2026 07:57:01;27/03/2026 07:56:21;Nao;Nao;0;0;0;0.7
119;228871;313;completed;27/03/2026 07:37:26;27/03/2026 07:39:35;27/03/2026 07:37:26;Nao;Nao;0;0;0;2.2
